product_name;product_price
Teclado Logitech K120 Conv Usb Pto;R$ 62,99
Limpeza de teclado com escova macia Cleaner 5 em 1 Ferramentas multifuncionais de limpeza de computador, escova de limpeza de teclado, para laptop limpo, fone de ouvido, teclado, mesa e outras fendas;R$ 11,99
Teclado Multi com fio USB TC193;R$ 21,27
Teclado Numérico Usb 18 Teclas Exbom Bk-n30;R$ 16,90
Teclado Mecânico Gamer Redragon Kumara, Anti-Ghosting, Rgb, Switch Out;R$ 229,99
Teclado Mecânico Gamer Redragon Dragonborn, Rgb, 60%, Switch;R$ 204,46
Teclado Mecânico Redragon Dark Avenger - RGB - Switch Outemu Blue - K568RGB-2 - ABNT2;R$ 189,90
Kit Mouse E Teclado Logitech Mk235 Sem Fio;R$ 138,99
